Liste aller offiziellen und inoffiziellen Ports:

0 	– 	UDP 	reserviert 	offiziell
1 	TCP 	UDP 	TCP Port Service Multiplexer (TCPMUX) 	offiziell
2 	TCP 	UDP 	CompressNET[1] Management Utility[2] 	offiziell
3 	TCP 	UDP 	CompressNET[1] Compression Process[3] 	offiziell
4 	TCP 	UDP 	Mesh Connection Protocol 	inoffiziell
5 	TCP 	UDP 	Remote Job Entry 	offiziell
6 	UDP 	UDP 	nicht zugewiesen 	offiziell
7 	TCP 	UDP 	Echo 	offiziell
8 	TCP 	UDP 	nicht zugewiesen 	offiziell
9 	TCP 	UDP 	Discard 	offiziell
10 	TCP 	UDP 	nicht zugewiesen 	offiziell
11 	TCP 	UDP 	Systeminformationen über den (systat-Service[4]) 	offiziell
12 	TCP 	UDP 	nicht zugewiesen 	offiziell
13 	TCP 	UDP 	Daytime (RFC 867) 	offiziell
14 	TCP 	UDP 	nicht zugewiesen 	offiziell
15 	TCP 	UDP 	netstat Service[4] 	inoffiziell
16 	TCP 	UDP 	nicht zugewiesen 	offiziell
17 	TCP 	UDP 	Quote of the Day (QOTD) – Protokoll, um eine kurze „Nachricht des Tages“ zu übermitteln 	offiziell
18 	TCP 	UDP 	Message Send Protocol – Protokoll, um Textnachrichten zwischen Computern zu übermitteln 	offiziell
19 	TCP 	UDP 	Character Generator Protocol (CHARGEN) 	offiziell
20 	TCP 	– 	FTP – Datenübertragung 	offiziell
21 	TCP 	UDP 	FTP – Verbindungsaufbau und Steuerung 	offiziell
22 	TCP 	UDP 	Secure Shell (SSH) wird für verschlüsselte Fernwartung und Dateiübertragung genutzt (scp, sftp) sowie für getunnelte Portweiterleitung 	offiziell
23 	TCP 	– 	Telnet – unverschlüsseltes Textprotokoll, z. B. für Fernwartung (ähnlich SSH, mit telnetd) 	offiziell
24 	TCP 	UDP 	Priv-mail: Private E-Mail-Systeme. 	offiziell
24 	TCP 	UDP 	LMTP (Local Mail Transport Protocol) 	inoffiziell
25 	TCP 	– 	Simple Mail Transfer Protocol (SMTP) wird für die E-Mail-Übermittlung zwischen E-Mail-Servern genutzt und findet sehr breite Unterstützung. 	offiziell
26 	TCP 	UDP 	nicht zugewiesen 	offiziell
34 	TCP 	UDP 	Remote File (RF), genutzt, um Dateien zwischen Rechnern auszutauschen. 	inoffiziell
35 	TCP 	UDP 	Private Druckserverprotokolle 	offiziell
37 	TCP 	UDP 	Das TIME-Protokoll wird genutzt, um übergreifend und plattformunabhängig die maschinenlesbare Zeit auszuliefern 	offiziell
39 	TCP 	UDP 	Das Resource Location Protocol (RLP) wird genutzt, um den Ort höherer Netzwerkdienste, die von Hosts angeboten werden, in einem Netzwerk zu bestimmen.[5] 	offiziell
40 	TCP 	UDP 	nicht zugewiesen 	offiziell
41 	TCP 	UDP 	Grafiken 	offiziell
42 	TCP 	UDP 	Nameserver, ARPA Host Name Server Protocol 	offiziell
42 	TCP 	UDP 	WINS 	inoffiziell
43 	TCP 	– 	Whois-Protokoll 	offiziell
47 	TCP 	UDP 	NI FTP[5] 	offiziell
49 	TCP 	UDP 	TACACS Login Host Protocol 	offiziell
50 	TCP 	UDP 	Remote Mail Checking Protocol[6] 	offiziell
51 	TCP 	UDP 	IMP Logical Address Maintenance 	offiziell
52 	TCP 	UDP 	XNS (Xerox Network Systems) Time Protocol 	offiziell
53 	TCP 	UDP 	Domain Name System (DNS), meist über UDP 	offiziell
54 	TCP 	UDP 	XNS (Xerox Network Systems) Clearinghouse 	offiziell
55 	TCP 	UDP 	ISI Graphics Language (ISI-GL) 	offiziell
56 	TCP 	UDP 	XNS (Xerox Network Systems) Authentication 	offiziell
56 	TCP 	UDP 	Route Access Protocol (RAP)[7] 	inoffiziell
57 	TCP 	– 	Mail Transfer Protocol (MTP) 	inoffiziell
58 	TCP 	UDP 	XNS (Xerox Network Systems) Mail 	offiziell
67 	– 	UDP 	Bootstrap Protocol (BOOTP) Server; auch genutzt von DHCP 	offiziell
68 	– 	UDP 	Bootstrap Protocol (BOOTP) Client; auch genutzt von DHCP 	offiziell
